run_id,exec_order,recipe,condition,missing,kit_id,weight
1.0,31.0,R3,OK,NONE,K001,9.91
2.0,24.0,R3,OK,NONE,K002,10.0
3.0,50.0,R3,OK,NONE,K003,10.0
4.0,12.0,R3,OK,NONE,K004,9.91
5.0,17.0,R3,OK,NONE,K005,10.04
5.0,17.0,R3,OK,NONE,K005,9.84
5.0,17.0,R3,OK,NONE,K005,9.9
5.0,17.0,R3,OK,NONE,K005,9.92
5.0,17.0,R3,OK,NONE,K005,9.95
5.0,17.0,R3,OK,NONE,K005,9.87
5.0,17.0,R3,OK,NONE,K005,9.88
5.0,17.0,R3,OK,NONE,K005,9.91
5.0,17.0,R3,OK,NONE,K005,9.9
5.0,17.0,R3,OK,NONE,K005,9.92
5.0,17.0,R3,OK,NONE,K005,9.94
5.0,17.0,R3,OK,NONE,K005,9.92
5.0,17.0,R3,OK,NONE,K005,9.89
5.0,17.0,R3,OK,NONE,K005,9.92
5.0,17.0,R3,OK,NONE,K005,9.95
5.0,17.0,R3,OK,NONE,K005,9.98
5.0,17.0,R3,OK,NONE,K005,9.99
5.0,17.0,R3,OK,NONE,K005,9.9
5.0,17.0,R3,OK,NONE,K005,9.97
5.0,17.0,R3,OK,NONE,K005,10.02
5.0,17.0,R3,OK,NONE,K005,10.0
5.0,17.0,R3,OK,NONE,K005,9.93
5.0,17.0,R3,OK,NONE,K005,9.97
5.0,17.0,R3,OK,NONE,K005,9.94
5.0,17.0,R3,OK,NONE,K005,9.99
5.0,17.0,R3,OK,NONE,K005,9.48
6.0,21.0,R3,NG,S2,K006,5.91
7.0,51.0,R3,NG,S2,K007,5.93
8.0,54.0,R3,NG,S2,K008,5.86
9.0,36.0,R3,NG,S2,K009,5.94
9.0,36.0,R3,NG,S2,K009,5.9
9.0,36.0,R3,NG,S2,K009,5.82
9.0,36.0,R3,NG,S2,K009,5.87
9.0,36.0,R3,NG,S2,K009,5.89
9.0,36.0,R3,NG,S2,K009,5.91
9.0,36.0,R3,NG,S2,K009,5.94
9.0,36.0,R3,NG,S2,K009,5.91
9.0,36.0,R3,NG,S2,K009,5.96
9.0,36.0,R3,NG,S2,K009,5.98
9.0,36.0,R3,NG,S2,K009,5.94
9.0,36.0,R3,NG,S2,K009,5.87
9.0,36.0,R3,NG,S2,K009,5.95
9.0,36.0,R3,NG,S2,K009,5.89
9.0,36.0,R3,NG,S2,K009,5.88
9.0,36.0,R3,NG,S2,K009,5.94
9.0,36.0,R3,NG,S2,K009,5.93
9.0,36.0,R3,NG,S2,K009,5.99
9.0,36.0,R3,NG,S2,K009,5.92
9.0,36.0,R3,NG,S2,K009,5.78
9.0,36.0,R3,NG,S2,K009,5.95
9.0,36.0,R3,NG,S2,K009,5.92
9.0,36.0,R3,NG,S2,K009,5.94
9.0,36.0,R3,NG,S2,K009,5.9
9.0,36.0,R3,NG,S2,K009,5.92
9.0,36.0,R3,NG,S2,K009,5.4
9.0,36.0,R3,NG,S2,K009,5.8
11.0,10.0,R3,NG,W2,K011,5.4
12.0,34.0,R3,NG,W2,K012,5.45
13.0,42.0,R3,NG,W2,K013,5.42
14.0,45.0,R3,NG,W2,K014,5.42
14.0,45.0,R3,NG,W2,K014,5.42
14.0,45.0,R3,NG,W2,K014,5.42
14.0,45.0,R3,NG,W2,K014,5.45
14.0,45.0,R3,NG,W2,K014,5.41
14.0,45.0,R3,NG,W2,K014,5.38
14.0,45.0,R3,NG,W2,K014,5.37
14.0,45.0,R3,NG,W2,K014,5.36
14.0,45.0,R3,NG,W2,K014,5.41
14.0,45.0,R3,NG,W2,K014,5.37
14.0,45.0,R3,NG,W2,K014,5.36
14.0,45.0,R3,NG,W2,K014,5.38
14.0,45.0,R3,NG,W2,K014,5.38
14.0,45.0,R3,NG,W2,K014,5.42
14.0,45.0,R3,NG,W2,K014,5.39
14.0,45.0,R3,NG,W2,K014,5.41
14.0,45.0,R3,NG,W2,K014,5.32
14.0,45.0,R3,NG,W2,K014,5.36
14.0,45.0,R3,NG,W2,K014,5.42
14.0,45.0,R3,NG,W2,K014,5.37
14.0,45.0,R3,NG,W2,K014,5.4
14.0,45.0,R3,NG,W2,K014,5.35
14.0,45.0,R3,NG,W2,K014,5.38
14.0,45.0,R3,NG,W2,K014,5.34
14.0,45.0,R3,NG,W2,K014,5.42
